X,Z,angle
-4,0,-246
-3.963394,-0.08221909,-237
-3.881431,-0.2316966,-228
-3.747442,-0.4331094,-219
-3.65518,-0.5483131,-210
-3.523499,-0.6707276,-201
-3.357075,-0.7877604,-192
-3.158401,-0.8913863,-183
-2.931191,-0.9742368,-174
-2.680296,-1.029843,-165
-2.41154,-1.052832,-174
-2.124272,-1.062612,-183
-1.819967,-1.074414,-192
-1.502059,-1.100181,-183
-1.17009,-1.124814,-174
-0.8259315,-1.136127,-165
-0.4733772,-1.124473,-174
-0.1106625,-1.106733,-183
0.261528,-1.096671,-192
0.640399,-1.105319,-183
1.027133,-1.116533,-174
1.420555,-1.117149,-165
1.817483,-1.096682,-174
2.220165,-1.0716,-183
2.628344,-1.055478,-192
3.039597,-1.059273,-183
3.455462,-1.066618,-174
3.875103,-1.064088,-165
4.295636,-1.040943,-156
4.712527,-0.9889677,-147
5.120031,-0.9023506,-138
5.511604,-0.7775762,-147
5.898195,-0.6318341,-156
6.287216,-0.480101,-165
6.682811,-0.3354112,-156
7.079809,-0.1842891,-147
7.471996,-0.01661552,-138
7.852409,0.17468,-147
8.231243,0.3752109,-156
8.615135,0.5721456,-165
9.007524,0.7541088,-156
9.402792,0.9360256,-147
9.794426,1.129237,-138
10.17523,1.34183,-147
10.55516,1.560185,-156
10.94064,1.772047,-165
11.3349,1.966491,-156
11.73223,2.15886,-147
12.12602,2.360861,-138
12.50904,2.580894,-147
12.89118,2.805567,-156
13.27881,3.022799,-165
13.67517,3.221793,-156
14.07449,3.418025,-147
14.47017,3.62332,-138
14.85496,3.846184,-147
15.23877,4.073297,-156
15.62795,4.292631,-165
16.02575,4.493432,-156
16.42639,4.691217,-147
16.8233,4.897858,-138
17.20921,5.121892,-129
17.57655,5.368836,-120
17.91766,5.641469,-111
18.22524,5.940108,-120
18.51703,6.254471,-129
18.80667,6.574605,-138
19.10399,6.890789,-129
19.39842,7.212719,-120
19.67996,7.546649,-111
19.93927,7.895769,-120
20.19209,8.251921,-129
20.45029,8.60671,-138
20.72223,8.951578,-147
21.01308,9.278015,-156
21.32523,9.577833,-165
21.65327,9.841831,-156
21.98995,10.08771,-147
22.32781,10.32929,-138
22.66343,10.58047,-147
23.00529,10.82956,-156
23.35849,11.06581,-165
23.72516,11.27949,-156
24.09879,11.48699,-147
24.47222,11.70081,-138
24.83779,11.93002,-147
25.20495,12.16177,-156
25.57966,12.3844,-165
25.79393,12.53598,-174
25.8694,12.62875,-183
25.85812,12.67411,-192
