TimeStep,X,Z,angle
0,-1,-4,-242
1,-0.9577475,-4.079465,-239
2,-0.8733673,-4.228129,-236
3,-0.747097,-4.43654,-233
4,-0.6646681,-4.563984,-236
5,-0.5617714,-4.720485,-239
6,-0.4465389,-4.901256,-242
7,-0.3233671,-5.105608,-245
8,-0.1960697,-5.332589,-248
9,-0.06801128,-5.581078,-251
10,0.05782413,-5.849833,-248
11,0.1866169,-6.134932,-245
12,0.3222752,-6.43291,-242
13,0.4677525,-6.740644,-245
14,0.617898,-7.059242,-248
15,0.768425,-7.389261,-251
16,0.91572,-7.730839,-248
17,1.064718,-8.081083,-245
18,1.219284,-8.437372,-242
19,1.382421,-8.797289,-239
20,1.556441,-9.158589,-236
21,1.743093,-9.519169,-233
22,1.943662,-9.877055,-230
23,2.159048,-10.2304,-227
24,2.389832,-10.57748,-224
25,2.636326,-10.91665,-227
26,2.892766,-11.25264,-230
27,3.154321,-11.58912,-233
28,3.416891,-11.9289,-230
29,3.683798,-12.26892,-227
30,3.957584,-12.60648,-224
31,4.240154,-12.93915,-221
32,4.532879,-13.26477,-218
33,4.836689,-13.58139,-215
34,5.152145,-13.88724,-212
35,5.479511,-14.18073,-209
36,5.818794,-14.46042,-206
37,6.16979,-14.72502,-203
38,6.532119,-14.97337,-200
39,6.905254,-15.20442,-197
40,7.288548,-15.41726,-194
41,7.681252,-15.61104,-191
42,8.082533,-15.78506,-188
43,8.491482,-15.93868,-185
44,8.907143,-16.07136,-182
45,9.328497,-16.18264,-179
46,9.754503,-16.27214,-176
47,10.18408,-16.33957,-173
48,10.61612,-16.38471,-170
49,11.0495,-16.40739,-167.0001
50,11.48309,-16.40754,-164
51,11.91575,-16.38515,-161
52,12.34634,-16.34028,-158.0001
53,12.7737,-16.27304,-155.0001
54,13.19671,-16.18361,-152.0001
55,13.61422,-16.07226,-149.0001
56,14.02514,-15.93928,-146.0001
57,14.42833,-15.78504,-143.0001
58,14.82274,-15.60998,-140.0001
59,15.2073,-15.41456,-137.0001
60,15.58097,-15.19935,-134.0001
61,15.94275,-14.96491,-131.0001
62,16.29165,-14.71192,-128.0001
63,16.62675,-14.44105,-125.0001
64,16.94713,-14.15306,-122.0001
65,17.25192,-13.84874,-119.0001
66,17.5403,-13.52891,-116.0001
67,17.81149,-13.19447,-113.0001
68,18.06476,-12.84633,-110.0001
69,18.29942,-12.48543,-107.0001
70,18.51483,-12.11278,-104.0001
71,18.71042,-11.72938,-101.0001
72,18.88565,-11.33631,-98.00012
73,19.04004,-10.93462,-95.00012
74,19.17319,-10.52542,-92.00014
75,19.28471,-10.10983,-89.00014
76,19.37432,-9.688992,-86.00014
77,19.44177,-9.264055,-83.00014
78,19.48688,-8.836184,-80.00015
79,19.50953,-8.40655,-77.00015
80,19.50965,-7.976333,-74.00015
81,19.48726,-7.54671,-71.00015
82,19.4424,-7.118856,-74.00015
83,19.38326,-6.691004,-77.00015
84,19.31658,-6.261865,-80.00015
85,19.24788,-5.830603,-83.00014
86,19.18173,-5.396778,-86.00014
87,19.12192,-4.960291,-89.00014
88,19.07154,-4.521325,-86.00014
89,19.0246,-4.080369,-83.00014
90,18.97619,-3.638064,-80.00015
91,18.92232,-3.195179,-83.00014
92,18.86821,-2.751074,-86.00014
93,18.81817,-2.305468,-89.00014
94,18.77572,-1.858383,-86.00014
95,18.73522,-1.410193,-83.00014
96,18.69203,-0.9614335,-80.00015
97,18.64239,-0.5127947,-83.00002
98,18.59169,-0.06355736,-85.99434
99,18.54439,0.386633,-88.97954
100,18.50414,0.8378199,-91.95093
101,18.47392,1.289789,-94.9048
102,18.45614,1.742121,-97.83925
103,18.45276,2.194235,-100.7544
104,18.46528,2.645428,-103.6523
105,18.49488,3.094911,-106.5365
106,18.54248,3.541825,-109.412
107,18.60871,3.985271,-112.2847
108,18.69402,4.424315,-115.1608
109,18.79871,4.858004,-112.2742
110,18.9155,5.289,-109.3698
111,19.03834,5.719352,-106.4403
112,19.16218,6.150559,-109.3925
113,19.29088,6.581244,-112.3609
114,19.42754,7.010031,-115.3383
115,19.57463,7.435559,-112.3576
116,19.72639,7.860198,-109.3771
117,19.87802,8.28569,-106.3982
118,20.0255,8.713242,-109.3709
119,20.17364,9.141228,-112.3324
120,20.3263,9.568098,-115.279
121,20.48653,9.992365,-112.3512
122,20.64915,10.41623,-109.4451
123,20.80986,10.84128,-106.5615
124,20.96508,11.26859,-109.4198
125,21.1197,11.69654,-112.2503
126,21.27763,12.12359,-115.052
127,21.44194,12.54829,-117.8227
128,21.61505,12.96929,-120.5611
129,21.79877,13.38531,-123.2671
130,21.99446,13.79514,-125.9422
131,22.2031,14.19766,-128.5893
132,22.42533,14.59181,-131.2121
133,22.66154,14.97664,-133.8154
134,22.9119,15.35122,-136.4044
135,23.17643,15.71471,-138.9845
136,23.455,16.06632,-141.5615
137,23.74738,16.40528,-144.1411
138,24.05323,16.7309,-146.7287
139,24.37218,17.04248,-149.33
140,24.70375,17.33936,-151.9502
141,25.04744,17.6209,-154.5947
142,25.40269,17.88647,-157.2686
143,25.76893,18.13544,-159.9768
144,26.14551,18.36719,-162.7244
145,26.36265,18.52328,-165.5164
146,26.44107,18.60872,-168.3577
